01: Charge = 070, Max = 180
02: Charge = 080, Max = 220
03: Charge = 090, Max = 250
04: Charge = 100, Max = 280
05: Charge = 110, Max = 300
06: Charge = 120, Max = 330
07: Charge = 130, Max = 360
08: Charge = 140, Max = 400
09: Charge = 160, Max = 450
10: Charge = 180, Max = 500
11: Charge = 185, Max = 550
12: Charge = 190, Max = 600
13: Charge = 195, Max = 630
14: Charge = 200, Max = 670
15: Charge = 205, Max = 700
16: Charge = 210, Max = 730
17: Charge = 215, Max = 750
18: Charge = 220, Max = 770
19: Charge = 225, Max = 800
20: Charge = 230, Max = 900
